id,name,type,source_seconds,width_m,depth_m,source_roof_iou,source_edge_rmse_px,near_source_review,review_image,inference
B002,近景蓝色金属顶住宅,metal,44,12.912565391037232,4.126781101687844,0.9537041719342604,1.0020953712303113,True,review/buildings/B002.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B003,蓝顶前方老灰楼,flat,44,8.774925210223682,9.783161610394137,0.8413898813213565,8.180086708749567,True,review/buildings/B003.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B004,蓝顶后侧旧混凝土楼,flat,44,14.774494115719403,8.529926385164353,0.9254893725006345,1.453231782150354,True,review/buildings/B004.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B005,蓝顶西侧粉灰住宅,flat,44,13.740384942799782,7.942427493342359,0.9089070830788532,2.0534092314351877,True,review/buildings/B005.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B006,红色三层住宅,flat,44,10.516124013221601,6.730780528405066,0.7942403296956118,3.1990275284109813,True,review/buildings/B006.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B007,红楼后方灰色三层住宅,flat,44,12.68099044452606,8.84852764111336,0.8614135386297376,2.339855961843482,True,review/buildings/B007.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B008,西侧白色转角阳台住宅,flat,44,10.4970578804011,7.094704148871641,0.7387389091734615,4.232676057688176,True,review/buildings/B008.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B009,西侧浅绿色住宅,flat,44,12.84817823480849,8.573601321420549,0.7791660629298142,3.4749864700396262,True,review/buildings/B009.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B010,西侧白色平顶住宅,flat,44,13.238623006430654,7.602994583419688,0.7482873888863906,3.1017935145431834,True,review/buildings/B010.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B011,画面左缘白顶住宅,flat,44,6.71513613559834,2.718249399110657,0.28864249636753614,10.079932460112904,True,review/buildings/B011.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B012,蓝色坡顶西侧白色住宅,flat,44,11.358320546742963,11.344610393426194,0.8476636042631243,4.902210469336862,True,review/buildings/B012.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B013,灰楼后方白色屋顶,flat,44,8.871754290155998,6.854059757664995,0.8973680513276823,1.123602601953164,True,review/buildings/B013.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B014,蓝色四坡顶别墅,hip,44,7.399317694911137,12.69264765878466,0.8741622623004414,3.0745205665401105,True,review/buildings/B014.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B015,蓝色别墅东侧低翼,flat,44,4.969971542103049,2.838561779582339,0.7840582615086523,1.3412704416168915,True,review/buildings/B015.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B016,池塘近端绿窗住宅,flat,44,9.854906186065369,9.244507148831893,0.6372779415279216,4.807884532180806,True,review/buildings/B016.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B017,池塘中段白色住宅,flat,44,11.00657923293286,9.148031234796758,0.7352194562725188,3.0536478207097058,True,review/buildings/B017.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B018,池塘后段白色住宅,flat,44,11.288619137318571,8.034049324789477,0.895588433995406,0.666806205398933,True,review/buildings/B018.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
B019,池塘西侧白色多阳台住宅,flat,44,8.048504553775446,13.638175223125304,0.6945551421211388,3.595702034240427,True,review/buildings/B019.jpg,隐蔽面、远景细部、层高和尺寸为合理推测
